date,Germany Count_Person,Spain Count_Person,France Count_Person,United Kingdom Count_Person,Italy Count_Person
1960,55257088,30327000,,52200000,50025500
1961,55958321,30583000,,52600000,50373900
1962,56589148,30895500,,53000000,50698800
1963,57247246,31151231,,53500000,51060100
1964,57864509,31442070,,53800000,51443900
1965,58587451,31776320,,54200000,51906800
1966,59296591,32132264,,54496100,52317900
1967,59792934,32434123,,54800900,52720100
1968,59948474,32931771,,55086300,53080900
1969,60463033,33294497,,55337100,53390600
1970,61194591,33587610,,55546400,53685300
1971,61001164,34040642,,55780100,53958400
1972,61502503,34408338,,56012345,54188579
1973,61809358,34800600,,56159785,54574111
1974,62101379,35177294,,56229268,54928700
1975,61991475,35569375,,56230680,55293036
1976,61644624,35946425,,56220920,55588966
1977,61441996,36329199,,56203016,55847553
1978,61352745,36694077,,56183968,56063269
1979,61321663,37035719,,56209039,56247017
1980,61439338,37346940,,56284863,56388480
1981,61657952,37635389,,56343569,56479285
1982,61712689,37881873,,56324088,56524064
1983,61546101,38090151,,56303194,56563031
1984,61306669,38252899,,56362502,56565117
1985,61049256,38407829,,56481641,56588319
1986,61020474,38531195,,56618895,56597823
1987,61140461,38638052,,56743897,56594487
1988,61238079,38731578,,56860203,56609375
1989,61715103,38802300,,56996450,56649201
1990,62679035,38853227,56577000,57156972,56694360
1991,79753227,38881416,56840661,57338199,56744119
1992,80274564,39051336,57110533,57511594,56772923
1993,80974632,39264034,57369161,57649210,56821250
1994,81338093,39458489,57565008,57788017,56842392
1995,81538603,39639726,57752535,57943472,56844408
1996,81817499,39808374,57935959,58094587,56844197
1997,82012162,39971329,58116018,58239312,56876364
1998,82057379,40143449,58298962,58394596,56904379
1999,82037011,40303568,60158533,58579685,56909109
2000,82163475,40470182,60545022,58785246,56923524
2001,82259540,40665545,60979315,58999781,56960692
2002,82440309,41035278,61424036,59239564,56987507
2003,82536680,41827838,61864088,59501394,57130506
2004,82531671,42547451,62292241,59793759,57495900
2005,82500849,43296338,62772870,60182050,57874753
2006,82437995,44009971,63229635,60620361,58064214
2007,82314906,44784666,63645065,61073279,58223744
2008,82217837,45668939,64007193,61571647,58652875
2009,82002356,46239273,64350226,62042343,59000586
2010,81802257,46486619,64658856,62510197,59190143
2011,80222065,46667174,64978721,63022532,59364690
2012,80327900,46818219,65276983,63495088,59394207
2013,80523746,46727890,65600350,63905297,59685227
2014,80767463,46512199,66165980,64351203,60782668
2015,81197537,46449565,66458153,64853393,60795612
2016,82175684,46440099,66638391,65379044,60665551
2017,82521653,46528024,66809816,65844142,60589445
2018,82792351,46658447,66918941,66273576,60483973
2019,83019213,46937060,67012883,66647112,60359546
